[WARNING]	No torrent files specified.
[INFO]	[NEW FILE] streams//stream-1-10.0.0.196-29773-10.0.0.165-58050-5782
[INFO]	pstr: BitTorrent protocol
[INFO]	reserved: 0000000000180005
[INFO]	infohash: 8cdf2d57835926111e7d16a072e7d95e3cc983aa
[INFO]	peerid: 2d4445313346302d44556a776a5469617a333251
[INFO]	[MESSAGE] [EXTENDED] HANDSHAKE: OrderedDict([(u'complete_ago', 275), (u'm', OrderedDict([(u'LT_metadata', 14), (u'lt_donthave', 7), (u'share_mode', 8), (u'upload_only', 3), (u'ut_holepunch', 4), (u'ut_metadata', 2), (u'ut_pex', 1)])), (u'metadata_size', 10476), (u'reqq', 500), (u'upload_only', 1), (u'v', u'Deluge 1.3.15'), (u'yourip', '\n\x00\x00\xc4')])
[INFO]	[MESSAGE] HAVE ALL
[INFO]	[MESSAGE] PORT: 58050
[INFO]	[MESSAGE] UNCHOKE
[INFO]	[MESSAGE] ALLOWED FAST: 38
[INFO]	[MESSAGE] ALLOWED FAST: 321
[INFO]	[MESSAGE] ALLOWED FAST: 285
[INFO]	[MESSAGE] ALLOWED FAST: 220
[INFO]	[MESSAGE] ALLOWED FAST: 478
[INFO]	[MESSAGE] ALLOWED FAST: 48
[INFO]	[MESSAGE] ALLOWED FAST: 318
[INFO]	[MESSAGE] ALLOWED FAST: 116
[INFO]	[MESSAGE] ALLOWED FAST: 464
[INFO]	[MESSAGE] ALLOWED FAST: 277
[INFO]	[MESSAGE] UNCHOKE
[INFO]	[MESSAGE] PIECE: index=160 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=160 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=100 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=100 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=480 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=480 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=494 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=494 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=304 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=304 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=127 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=127 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=402 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=402 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=515 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=515 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=448 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=448 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=512 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=512 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=386 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=386 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=111 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=111 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=253 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=253 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=282 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=282 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=367 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=367 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=107 begin=0 length=16384
[INFO]	[MESSAGE] PIECE: index=107 begin=16384 length=16384
[INFO]	[MESSAGE] PIECE: index=516 begin=0 length=16384
